ingresos,egresos,activos,pasivos,vol_trans,a_econ,edad,anos_afil,genero,estado_civil,ocupacion,nivel_estudio,tipo_vivienda,estrato,num_hijos,personas_cargo,special_test_1
5208522,2662000,745000000,68000000,1562556,A6,68,20.8,F,SOLTERO,PENSIONADO,ESPECIALIZACION,PROPIA,E4,1,0,0.03142638458
2300000,2000000,50000000,0,690000,A2,67,14.9,F,SOLTERO,EMPLEADO,ESPECIALIZACION,FAMILIAR,E4,0,0,3.024942711
5600000,300000,325000000,0,1680000,A2,66,26.2,F,SOLTERO,EMPLEADO,UNIVERSITARIO,PROPIA,E3,0,0,0.04473829584
7300000,1900000,100000000,10000000,2190000,A2,42,14.7,F,CASADO,EMPLEADO,ESPECIALIZACION,PROPIA,E4,2,0,1.085832165
3900000,2800000,375000000,50000000,1170000,A2,64,7.7,F,SOLTERO,EMPLEADO,UNIVERSITARIO,PROPIA,E4,4,0,3.082271934
4785512,1800000,393800000,10000000,1435653,A2,63,4.5,F,CASADO,EMPLEADO,UNIVERSITARIO,PROPIA,E3,1,1,2.055413211
5084432,600000,344910926,0,1525329,A6,63,7.9,F,CASADO,PENSIONADO,ESPECIALIZACION,PROPIA,E5,3,0,3.025418389
4953526,1300000,345000000,17000000,1486057,A6,63,18.6,F,SOLTERO,PENSIONADO,UNIVERSITARIO,PROPIA,E3,0,0,0.00455936714
6000000,1600000,670000000,12000000,1800000,A2,63,6.5,F,CASADO,EMPLEADO,ESPECIALIZACION,PROPIA,E5,2,0,0.03122270568
1800000,750000,229000000,1000000,540000,A2,62,3.9,F,CASADO,EMPLEADO,UNIVERSITARIO,PROPIA,E3,1,0,3.027820422
7069742,2950000,435000000,85000000,2120922,A2,61,5.3,M,DIVORCIADO,EMPLEADO,ESPECIALIZACION,PROPIA,E3,3,1,0.06638973875
5800000,1100000,497000000,10000000,1740000,A4,58,6.2,F,CASADO,INDEPENDIENTE,UNIVERSITARIO,PROPIA,E4,1,0,3.046368697
2813189,1085000,150000000,27000000,843956,A2,59,4.5,F,CASADO,EMPLEADO,ESPECIALIZACION,PROPIA,E5,2,2,2.050271429
1739500,300000,375000000,1500000,521850,A6,59,9.3,F,CASADO,PENSIONADO,UNIVERSITARIO,FAMILIAR,E3,2,0,1.066730002
1860000,800000,5000000,2500000,558000,A2,61,19.8,F,CASADO,EMPLEADO,UNIVERSITARIO,PROPIA,E3,2,0,3.00515399
1257165,650000,300000000,26000000,377149,A2,61,5.1,F,DIVORCIADO,EMPLEADO,UNIVERSITARIO,PROPIA,E3,1,0,0.07218224671
5733955,1000000,375000000,0,1720186,A2,60,18.2,F,CASADO,EMPLEADO,ESPECIALIZACION,PROPIA,E3,2,0,0.01382360678
2292935,700000,372000000,20000000,687880,A6,61,20.2,F,SOLTERO,PENSIONADO,UNIVERSITARIO,PROPIA,E3,0,0,2.026927258
2800000,900000,147000000,20000000,840000,A2,59,9.5,F,CASADO,EMPLEADO,UNIVERSITARIO,PROPIA,E4,3,1,2.014174508
5377711,1800000,701000000,0,1613313,A2,59,2.5,F,SOLTERO,EMPLEADO,UNIVERSITARIO,PROPIA,E3,1,1,1.054489086
2000000,300000,0,0,600000,A2,58,4.2,F,UNION_LIBRE,EMPLEADO,UNIVERSITARIO,FAMILIAR,E4,1,1,0.01853327371
1500000,700000,0,0,450000,A2,35,3.2,F,SOLTERO,EMPLEADO,UNIVERSITARIO,FAMILIAR,E3,0,1,3.011264687
1200000,469000,8000000,1,360000,A2,34,0.2,F,SOLTERO,EMPLEADO,UNIVERSITARIO,FAMILIAR,E4,1,0,2.031408562
4589560,3500000,648000000,83000000,1376868,A2,34,1.9,F,UNION_LIBRE,EMPLEADO,UNIVERSITARIO,PROPIA,E4,1,1,1.013750535
850000,520000,135000000,16000000,255000,A2,34,0.4,F,SOLTERO,EMPLEADO,UNIVERSITARIO,PROPIA,E3,0,0,1.053535481
5091500,1400000,145000000,10000000,1527450,A2,55,13.8,F,CASADO,EMPLEADO,ESPECIALIZACION,FAMILIAR,E4,2,2,1.093691401
1500000,1000000,96000000,16000000,450000,A2,35,0.1,F,SOLTERO,EMPLEADO,UNIVERSITARIO,FAMILIAR,E3,2,2,2.002369022
3414000,1100000,210000000,800000,1024200,A2,35,1.5,F,SOLTERO,EMPLEADO,UNIVERSITARIO,PROPIA,E3,1,1,2.04924514
9224000,1500000,180000000,10000000,2767200,A2,35,5.1,F,CASADO,EMPLEADO,ESPECIALIZACION,FAMILIAR,E4,0,0,0.04959114286
3750000,1000000,105000000,32000000,1125000,A2,33,1.1,F,UNION_LIBRE,EMPLEADO,UNIVERSITARIO,PROPIA,E4,0,0,3.032230054
2900000,1500000,110500000,28000000,870000,A2,32,0.2,F,SOLTERO,EMPLEADO,UNIVERSITARIO,FAMILIAR,E3,1,1,1.074731236
1851897,650000,155000000,4000000,555569,A2,32,0.4,F,SOLTERO,EMPLEADO,UNIVERSITARIO,FAMILIAR,E3,1,0,3.06161897
5400000,1200000,475000000,5000000,1620000,A2,44,3.1,F,CASADO,EMPLEADO,UNIVERSITARIO,PROPIA,E4,3,1,2.060659847
2200000,800000,1,1,660000,A2,37,0.2,F,SOLTERO,EMPLEADO,UNIVERSITARIO,PROPIA,E3,0,0,1.081666914
5316933,3762000,72000000,0,1595079,A2,52,5.7,F,CASADO,EMPLEADO,UNIVERSITARIO,PROPIA,E5,3,1,1.011500711
13000000,3900000,571000000,40000000,3900000,A4,32,2.8,F,SOLTERO,INDEPENDIENTE,UNIVERSITARIO,PROPIA,E3,0,0,0.08940685748
2552969,470000,165000000,800000,765890,A2,31,0.5,F,CASADO,EMPLEADO,UNIVERSITARIO,PROPIA,E3,0,0,2.056416287
3750000,1340000,170000000,16000000,1125000,A2,31,2.4,F,CASADO,EMPLEADO,UNIVERSITARIO,PROPIA,E3,1,0,1.040720689
857339,275000,109000000,1900000,257201,A2,31,1.4,F,SOLTERO,EMPLEADO,UNIVERSITARIO,PROPIA,E3,1,0,3.013757177
3000000,800000,1400000,3000000,900000,A2,33,4.2,F,SOLTERO,EMPLEADO,ESPECIALIZACION,FAMILIAR,E4,0,0,3.006790224
1300000,500000,11500000,500000,390000,A2,31,0.5,F,SOLTERO,EMPLEADO,UNIVERSITARIO,FAMILIAR,E4,0,0,2.029225898
1600000,500000,30000000,1000000,480000,A2,39,0.1,F,SOLTERO,EMPLEADO,UNIVERSITARIO,FAMILIAR,E3,0,0,3.093455735
16000000,3500000,0,15000000,4800000,A2,37,4.8,F,UNION_LIBRE,EMPLEADO,ESPECIALIZACION,FAMILIAR,E4,0,0,2.068990724
4500000,1486000,160000000,8500000,1350000,A2,60,19,F,DIVORCIADO,EMPLEADO,ESPECIALIZACION,PROPIA,E4,2,0,1.054857086
2950000,2550000,132000000,37600000,885000,A2,59,7.5,F,CASADO,EMPLEADO,ESPECIALIZACION,FAMILIAR,E4,0,4,1.044095378
10458500,4800000,273000000,80000000,3137550,A2,54,2.3,F,CASADO,EMPLEADO,MASTER,PROPIA,E4,2,0,1.029705287
5000000,2000000,500000000,0,1500000,A2,70,24.9,F,CASADO,EMPLEADO,UNIVERSITARIO,PROPIA,E3,2,0,1.066045595
3117669,1800000,200000000,61970000,935300,A6,68,25.5,F,CASADO,PENSIONADO,UNIVERSITARIO,PROPIA,E3,2,0,2.003629889
1929432,350000,290000000,0,578829,A2,66,19.8,F,CASADO,EMPLEADO,UNIVERSITARIO,PROPIA,E3,3,0,1.08511366
5344632,2450000,153493000,16000000,1603389,A2,65,25.9,F,DIVORCIADO,EMPLEADO,UNIVERSITARIO,PROPIA,E3,2,0,0.05427030245
3827859,1430000,100000000,20000000,1148357,A6,65,19,F,CASADO,PENSIONADO,ESPECIALIZACION,PROPIA,E3,1,1,3.042687253
4400000,2730000,100000000,5000000,1320000,A2,64,25.9,F,CASADO,EMPLEADO,ESPECIALIZACION,PROPIA,E3,2,0,1.067126797
12293000,6117000,402817833,56277527,3687900,A2,62,20.1,F,CASADO,EMPLEADO,UNIVERSITARIO,PROPIA,E3,1,1,1.076899
6820666,1920000,190000000,36000000,2046199,A2,69,9.7,M,SOLTERO,EMPLEADO,ESPECIALIZACION,PROPIA,E4,0,0,1.019659587
10400000,1850000,1050000000,85000000,3120000,A2,56,7.5,F,CASADO,EMPLEADO,ESPECIALIZACION,PROPIA,E3,0,0,2.056808394
4200000,2100000,90000000,54000000,1260000,A2,36,8.8,F,UNION_LIBRE,EMPLEADO,UNIVERSITARIO,FAMILIAR,E4,1,0,2.018722046
4500000,2100000,500000000,35000000,1350000,A4,51,13.6,F,CASADO,INDEPENDIENTE,DOCTORADO,PROPIA,E5,2,1,0.08456779485
1136662,500000,225000000,4000000,340998,A2,44,0.2,F,SOLTERO,EMPLEADO,TECN-TECNOL,PROPIA,E3,0,0,1.042136791
2050000,800000,10000000,5000000,615000,A2,37,0.7,F,SOLTERO,EMPLEADO,UNIVERSITARIO,PROPIA,E5,1,1,2.097289475
2000000,250000,28000000,0,600000,A2,35,1.5,F,SOLTERO,EMPLEADO,UNIVERSITARIO,FAMILIAR,E3,0,0,3.079070993
4302344,1500000,65000000,51000000,1290703,A2,36,1,F,SOLTERO,EMPLEADO,UNIVERSITARIO,FAMILIAR,E4,1,0,2.020740748
10374514,3300000,750000000,35000000,3112354,A2,63,8.6,M,UNION_LIBRE,EMPLEADO,UNIVERSITARIO,PROPIA,E3,2,0,2.085839927
4000000,1000000,190000000,1,1200000,A2,56,0.3,M,CASADO,EMPLEADO,UNIVERSITARIO,FAMILIAR,E3,1,1,1.075529427
3500000,1300000,73000000,13000000,1050000,A2,34,1,M,SOLTERO,EMPLEADO,UNIVERSITARIO,PROPIA,E3,1,0,1.073865496
1480000,650000,220000000,30000000,444000,A2,50,7.9,M,SOLTERO,EMPLEADO,UNIVERSITARIO,PROPIA,E3,0,0,1.013102015
2320554,902000,70000000,300000,696166,A2,35,0.5,M,CASADO,EMPLEADO,UNIVERSITARIO,PROPIA,E3,0,0,0.0247390036
11400000,5000000,250000000,15000000,3420000,A6,76,25.9,M,CASADO,PENSIONADO,ESPECIALIZACION,PROPIA,E5,2,0,3.063662141
8650000,4000000,100000000,30500000,2595000,A2,58,9.6,F,CASADO,EMPLEADO,UNIVERSITARIO,PROPIA,E3,0,3,1.083685231
2008000,1295000,79000000,15000000,602400,A2,52,9.4,F,CASADO,EMPLEADO,UNIVERSITARIO,PROPIA,E4,1,1,3.01102696
2150000,1040000,25000000,6000000,645000,A2,46,19.6,F,SOLTERO,EMPLEADO,ESPECIALIZACION,PROPIA,E3,1,1,3.017197438
3494706,1000000,39000000,100000,1048411,A2,38,1.5,F,UNION_LIBRE,EMPLEADO,ESPECIALIZACION,PROPIA,E4,1,1,1.070474385
1800000,700000,0,0,540000,A2,33,0.2,F,SOLTERO,EMPLEADO,UNIVERSITARIO,PROPIA,E3,0,0,3.033210596
4044984,2600000,200000000,10000000,1213495,A2,56,6.7,F,CASADO,EMPLEADO,ESPECIALIZACION,PROPIA,E4,2,0,1.034794128
4200000,2338300,518000000,5000000,1260000,A4,59,8.3,F,CASADO,INDEPENDIENTE,ESPECIALIZACION,PROPIA,E3,2,0,1.052902847
3179923,900000,118000000,5000000,953976,A2,57,3.5,F,SOLTERO,EMPLEADO,NINGUNO,PROPIA,E4,1,0,0.07104076045
2430960,800000,80000000,0,729288,A2,56,5,F,SOLTERO,EMPLEADO,UNIVERSITARIO,FAMILIAR,E4,1,1,0.09206278567
3900000,1700000,200000000,20000000,1170000,A2,56,5.2,F,CASADO,EMPLEADO,UNIVERSITARIO,PROPIA,E3,2,1,1.095897083
4450000,1500000,280000000,90000000,1335000,A2,55,20.1,F,CASADO,EMPLEADO,ESPECIALIZACION,PROPIA,E3,1,1,1.056932841
2938000,750000,14000000,4000000,881400,A2,56,10.1,F,CASADO,EMPLEADO,UNIVERSITARIO,FAMILIAR,E3,2,1,1.031091312
1500000,3350000,250000000,5000000,450000,A2,54,19.9,F,CASADO,EMPLEADO,UNIVERSITARIO,PROPIA,E3,3,1,1.084536722
4371164,1800000,471000000,90000000,1311349,A2,55,20,F,SOLTERO,EMPLEADO,UNIVERSITARIO,PROPIA,E3,1,0,3.041971708
5542300,1500000,570000000,20000000,1662690,A2,56,18.9,F,SOLTERO,EMPLEADO,UNIVERSITARIO,PROPIA,E3,2,0,1.060721468
15500000,8000000,164000000,58000000,4650000,A2,54,1.5,F,CASADO,EMPLEADO,ESPECIALIZACION,PROPIA,E3,0,1,1.092127441
3561478,1500000,84000000,11200000,1068443,A2,55,8.9,F,CASADO,EMPLEADO,ESPECIALIZACION,PROPIA,E3,1,1,3.030492409
4000000,1000000,310000000,0,1200000,A2,55,0.9,F,CASADO,EMPLEADO,UNIVERSITARIO,PROPIA,E4,3,0,0.004854638381
2929726,730000,110000000,10000000,878917,A2,54,2.1,F,CASADO,EMPLEADO,ESPECIALIZACION,PROPIA,E3,1,1,3.074691893
6554300,2722624,363000000,80000000,1966290,A4,53,4.4,F,SOLTERO,INDEPENDIENTE,ESPECIALIZACION,PROPIA,E4,2,1,1.008301736
4000000,1500000,50000000,2500000,1200000,A2,55,6.5,F,DIVORCIADO,EMPLEADO,UNIVERSITARIO,FAMILIAR,E3,2,2,2.064670366
4320554,500000,20000000,1,1296166,A2,53,0.4,F,CASADO,EMPLEADO,UNIVERSITARIO,FAMILIAR,E3,2,0,0.05528838489
5582000,2500000,313000000,10000000,1674600,A2,52,0.5,F,CASADO,EMPLEADO,ESPECIALIZACION,PROPIA,E4,2,0,0.02232099479
18276000,10133000,455909000,0,5482800,A2,52,19.7,F,DIVORCIADO,EMPLEADO,ESPECIALIZACION,PROPIA,E5,1,1,2.05107733
3000000,350000,104000000,600000,900000,A2,52,0.4,F,CASADO,EMPLEADO,UNIVERSITARIO,PROPIA,E3,0,0,3.006696756
3920548,2100000,200000000,15000000,1176164,A4,51,4.4,F,CASADO,INDEPENDIENTE,ESPECIALIZACION,PROPIA,E3,2,2,3.092788845
1500000,500000,111100000,100000,450000,A2,51,0.5,F,CASADO,EMPLEADO,TECN-TECNOL,PROPIA,E3,0,0,0.02040143932
2100000,750000,105500000,10000000,630000,A2,51,0.5,F,SOLTERO,EMPLEADO,UNIVERSITARIO,PROPIA,E3,0,0,3.022682442
3200000,1200000,0,0,960000,A2,51,4.3,F,SOLTERO,EMPLEADO,UNIVERSITARIO,FAMILIAR,E3,0,3,0.07904384395
2600000,300000,90000000,30000000,780000,A2,50,0.3,F,CASADO,EMPLEADO,UNIVERSITARIO,FAMILIAR,E4,1,1,0.02419076734
6000000,1450000,385000000,56000000,1800000,A2,50,6,F,DIVORCIADO,EMPLEADO,UNIVERSITARIO,PROPIA,E3,1,0,3.015266914
8000000,4000000,300000000,10000000,2400000,A2,50,0.1,F,CASADO,EMPLEADO,UNIVERSITARIO,PROPIA,E3,0,0,1.044375694
1200000,600000,100000,1,360000,A2,51,0.5,F,CASADO,EMPLEADO,TECN-TECNOL,FAMILIAR,E2,1,1,0.09521139435
2000000,500000,4000000,1,600000,A2,50,0.3,F,SOLTERO,EMPLEADO,TECN-TECNOL,FAMILIAR,E3,0,0,1.00938684
